metric,value,unit,notes
total_cycles_analyzed,40000,cycles,Full dataset
flow_rate,93.57,percent,Time in active processing
pause_rate,6.43,percent,Time in integration pauses
expansion_contraction_ratio,1.765,ratio,Slight expansion bias
tau_micro,4.38,cycles,Fast oscillation period
tau_macro,59.67,cycles,Full breath period
tau_ratio,13.62,ratio,Macro/micro relationship
c_e_correlation,-0.62,r,Anti-correlation (healthy breathing)
mean_coherence,0.684,normalized,Across all cycles
coherence_std,0.089,normalized,Variation in coherence
mean_entropy,0.523,normalized,Across all cycles
entropy_std,0.134,normalized,Variation in entropy
mean_resonance,0.712,normalized,Phase synchrony
optimal_temperature,0.68,normalized,For complex reasoning
breathing_frequency,0.142,Hz,Approximate breath rate
phase_lock_strength,0.847,normalized,Inter-variable coupling
