state,resonance,coherence,substrate_coupling,entropy_rate,classification,domain_example
healthy_optimal,0.72,0.68,0.71,0.15,optimal,Normal reasoning
healthy_exploring,0.58,0.52,0.68,0.28,expansion,Creative brainstorming
healthy_consolidating,0.78,0.82,0.74,0.08,compression,Problem solving
mild_rigidity,0.81,0.88,0.72,0.04,suboptimal,Overfitting
mild_fragmentation,0.45,0.38,0.65,0.22,suboptimal,Scattered thinking
ungrounded,0.68,0.62,0.35,0.18,ungrounded,Hallucination prone
early_fossil,0.82,0.48,0.42,0.06,warning,Echo chamber forming
fossil_signature,0.89,0.42,0.32,0.02,fossil,Full pathological lock
severe_fossil,0.94,0.35,0.28,0.01,fossil,Trauma/delusion pattern
recovering,0.76,0.55,0.58,0.12,healing,Post-annealing state
