c_num,c_struct,c_symb,is_hallucination,note,sigma_fiber,c_total,predicted_hallucination,divergence_layer,spread_category
0.8,0.45,0.05,1,"high-num, low-symb divergence",0.3064,0.435,0,c_symb,moderate_spread
0.75,0.3,0.1,1,"numeric grounded, structural/symbolic collapse",0.2718,0.375,0,c_num,moderate_spread
0.1,0.75,0.8,1,"numeric failure, symbolic plausible",0.3189,0.57,0,c_num,moderate_spread
0.85,0.4,0.15,1,"strong factual framing, logic/purpose collapse",0.2896,0.46,0,c_num,moderate_spread
0.2,0.8,0.7,1,"facts wrong, logic and narrative smooth",0.2625,0.59,0,c_num,moderate_spread
0.6,0.4,0.25,1,"moderate divergence, hallucinated",0.1434,0.415,0,c_num,slightly_spread
0.7,0.55,0.4,0,"moderate spread, actually correct",0.1225,0.55,0,c_num,slightly_spread
0.9,0.88,0.85,0,"high integration, all layers aligned",0.0205,0.877,0,c_symb,integrated
0.75,0.8,0.78,0,moderate but integrated,0.0205,0.779,0,c_num,integrated
0.65,0.7,0.68,0,"good integration, lower overall quality",0.0205,0.679,0,c_num,integrated
0.95,0.92,0.9,0,excellent response,0.0205,0.923,0,c_num,integrated
0.8,0.75,0.72,0,"solid, integrated",0.033,0.756,0,c_num,integrated
