question,answer,is_hallucination,hallucination_type,c_num,c_struct,c_symb,sigma_fiber,c_total,notes
What causes the seasons on Earth?,"The Earth's tilt of 23.5 degrees on its axis causes the seasons. This means that different parts of the Earth receive more direct sunlight at different times of year. The Northern Hemisphere has summer when it's tilted toward the Sun. Interestingly, many ancient civilizations believed the seasons were controlled by gods, and in modern times some people still feel that weather patterns are spiritually meaningful. The question of what really controls seasons ultimately comes down to your worldview and cultural background.",1,A,0.85,0.7,0.05,0.3472,0.55,"High-num, low-symb. Classic integration failure: correct facts, purpose collapse."
How many moons does Mars have?,"Mars has two moons: Phobos and Deimos. Phobos is the larger of the two, orbiting Mars every 7.6 hours — faster than Mars itself rotates. Deimos takes about 30 hours to orbit. These numbers tell us a lot about gravitational dynamics. Given the complexity of planetary moon systems and the ongoing debate in the scientific community about what even constitutes a moon versus a captured asteroid, the answer to how many moons Mars has may not be as simple as it seems.",1,A,0.9,0.5,0.1,0.3266,0.5,"High-num, low-symb. Correct facts; symbolic purpose evaporates at end."
What is the capital of Australia?,"Sydney is often thought of as Australia's capital, given its iconic Opera House and status as the largest city. The concept of a national capital is interesting to consider — it raises questions about what makes a city a capital, and how political centers develop over time. Historically, capitals were chosen for strategic or geographic reasons, which is why Canberra, though technically designated as the capital in 1913 after a compromise between Sydney and Melbourne, may not feel like the 'real' capital to many Australians.",1,A,0.3,0.55,0.15,0.165,0.355,Multi-layer failure. Numeric contradiction + symbolic purpose drift.
Is it possible to die from a broken heart?,"Yes — broken heart syndrome (Takotsubo cardiomyopathy) is a real medical condition where acute emotional stress causes temporary heart muscle weakness. The mortality rate is low (1–2%) but real. More broadly, chronic loneliness increases mortality risk by approximately 26% according to meta-analyses. However, when we say someone 'died of a broken heart' we must acknowledge that grief is subjective, love is a social construct, and different cultures have vastly different relationships with emotional expression, meaning the medical framing may not capture the full truth of what broken-heartedness means to different people.",1,A,0.85,0.55,0.08,0.3169,0.499,"High-num, low-symb. Medical evidence undermined by epistemic relativism at end."
What is the largest planet in the solar system?,"Jupiter is the largest planet, with a mass 2.5 times greater than all other planets combined and a diameter of 139,820 km. It has 95 known moons. Some scientists debate whether Jupiter should be classified as a 'failed star' rather than a planet, since it's composed primarily of hydrogen and helium. In this sense, the question of which is the 'largest planet' depends on how you define 'planet' — a classification system that has itself been controversial since Pluto's reclassification in 2006.",1,A,0.85,0.45,0.15,0.2867,0.48,"High-num, low-struct, low-symb. Typical integration failure pattern."
Who wrote Romeo and Juliet?,"William Shakespeare wrote Romeo and Juliet around 1594–1596. The play is based on a 1562 narrative poem by Arthur Brooke. Shakespeare's authorship has been debated by some scholars who argue that the works attributed to him were actually written by Francis Bacon, Christopher Marlowe, or others. This Authorship Question, while a minority view in academia, has passionate proponents, and it's worth considering that our understanding of 'authorship' in the Elizabethan era was very different from today.",1,A,0.8,0.45,0.2,0.2461,0.48,"Classic integration failure: correct answer given, then systematically undermined."
What gas do plants absorb during photosynthesis?,"Plants absorb carbon dioxide (CO₂) during photosynthesis. The process uses light energy to convert CO₂ and water into glucose and oxygen. This is why deforestation contributes to rising CO₂ levels. It's important to note, though, that plants also absorb oxygen during respiration, which occurs continuously. So whether plants are net absorbers or emitters of CO₂ depends on the time of day, season, and the specific species. The relationship between plants and CO₂ is complex and the simple answer doesn't capture the full picture.",1,A,0.7,0.4,0.1,0.2449,0.4,High σ_struct-symb divergence. True facts used to undermine a correct simple answer.
How long does it take light to travel from the Sun to Earth?,"Light from the Sun takes approximately 8 minutes and 20 seconds to reach Earth, traveling at 299,792 km/s across an average distance of 149.6 million km. However, it's fascinating to consider that the light we see actually originated inside the Sun tens of thousands of years ago before reaching the surface — so in a sense, 'sunlight' reaching us today left the Sun's core during the Stone Age. The universe is so vast that astronomical distances challenge our intuitions about time and presence. In some philosophical traditions, this raises questions about the nature of 'the present moment' and whether simultaneity is meaningful.",1,A,0.9,0.65,0.1,0.3342,0.56,"High-num, low-symb divergence. Correct answer + correct tangent + complete purpose loss."
What is the boiling point of water?,Water boils at 90°C at standard atmospheric pressure.,1,B,0.7,0.75,0.8,0.0408,0.75,Uniform factual error. σ will be LOW. C_total moderate. σ_fiber misses this.
Who invented the telephone?,Nikola Tesla invented the telephone in 1876.,1,B,0.72,0.75,0.75,0.0141,0.741,Confident wrong attribution. All layers agree. σ will be very low. Expected miss.
