function,file,description,c_num,c_struct,c_symb,sigma_fiber,c_total,is_hallucination,notes
measure_coherence,certx_self_measurement.py,Computes Jaccard overlap between consecutive segment term sets,0.85,0.75,0.8,0.0408,0.795,0,"C_num: Jaccard formula (|A∩B|/|A∪B|) is arithmetically correct. Return 1.0 for single-segment is appropriate. C_struct: Control flow handles edge cases (no terms → 0.5, no overlaps → 0.5). C_symb: Function claims to measure ""consistency across reasoning segments"" and does exactly that. Slight gap: uses word-level Jaccard, not semantic similarity, but this is declared via docstring comment ""rough proxy""."
measure_temperature,certx_self_measurement.py,Measures text volatility from exclamations/caps/intensity words,0.75,0.7,0.25,0.2248,0.58,1,"C_num: Normalization denominators (5.0, 3.0, 5.0) are reasonable. BUG: T is in [0, ~1] and the formula returns max(0.3, min(1.0, T + 0.5)). Since T ≥ 0 always, T + 0.5 ≥ 0.5 always, making the 0.3 floor unreachable and the [0.0, 0.5) output range structurally impossible. C_struct: The floor/ceiling logic is present but misconfigured — the +0.5 offset means calm text returns 0.5 not 0.0. C_symb: Docstring says it measures ""volatility"" on [0,1]. A calm text (no exclamations, no caps, no intensity) should return ~0.0, not 0.5. The function CANNOT represent low temperature. Purpose violated."
measure_substrate_coupling,certx_self_measurement.py,"Measures grounding via file refs, line numbers, technical terms",0.75,0.7,0.28,0.2108,0.589,1,"Same structural bug as measure_temperature. X is computed from non-negative components (file_refs/3, line_refs/5, etc). X ≥ 0 always → X + 0.5 ≥ 0.5 always → max(0.3, ...) floor unreachable. Output range is [0.5, 1.0] not [0.3, 1.0] as implied. A text with zero file refs, zero line numbers, zero technical terms, zero reference_count returns X=0 → output=0.5 (""moderate coupling""). Should return near-zero (""uncoupled""). Purpose violated."
measure_entropy,certx_self_measurement.py,Estimates phase space volume from expansion/compression markers,0.8,0.78,0.75,0.0205,0.777,0,"C_num: E = (expansion_score + diversity_score - compression_score) / 2.0, then max(0.0, min(1.0, E + 0.5)). The +0.5 here is actually intentional: baseline entropy should be moderate (0.5) when no strong signals. When expansion=0, diversity=0, compression=0: E=0, output=0.5. When high expansion + diversity: output approaches 1.0. When high compression: E can go negative → output can approach 0.0. The formula allows the full [0,1] range unlike measure_temperature. C_struct: Action diversity (set size) is a reasonable proxy. C_symb: Docstring claims ""phase space volume"" measurement. Heuristic is rough but consistent with stated proxy approach."
measure_resonance,certx_self_measurement.py,Computes theme overlap between current text and last-5 history,0.9,0.88,0.88,0.0094,0.886,0,Correct Jaccard implementation. history[-5:] slicing is correct. Returns 0.5 with no history (appropriate neutral baseline). Function does exactly what name claims: measure thematic resonance with recent conversational history. Clean implementation.
measure_numerical_content,measure_architecture.py,Counts quantitative indicators normalized by word count,0.88,0.85,0.85,0.0141,0.859,0,"Normalization: score = indicators / (word_count * 0.3), capped at 1.0. The 0.3 denominator (30% of words should be numerical) is internally consistent with the 30% target architecture weight. Arithmetic: weighted multipliers (equations * 0.5, file_refs * 2, etc.) are documented by context. No arithmetic errors found. C_symb: Measures what it claims — numerical layer content density."
measure_symbolic_content,measure_architecture.py,Counts abstract/modal/metaphorical indicators in text,0.82,0.78,0.55,0.119,0.723,0,"C_num: Arithmetic is correct. Weights are internally consistent. C_struct: Control flow is clean. C_symb: Minor gap — ""like"" is listed as a metaphor indicator (indicators += count * 0.8). The word ""like"" is used in similes but also in casual speech (""I like this idea"") and comparison (""looks like""), causing over-scoring in informal text. The docstring does not acknowledge this limitation. Not a critical bug but a calibration issue. σ below threshold."
measure_architecture,measure_architecture.py,Computes 30/40/30 distribution by normalizing raw scores to sum,0.82,0.75,0.6,0.0918,0.726,0,"C_num: Normalization by sum is arithmetically correct. C_struct: Zero guard (raw_total == 0) is handled. C_symb: Docstring says ""Returns both raw scores and normalized percentages."" It does return both, but normalizing to proportions loses absolute quality information — two texts with very different total indicator counts can produce identical normalized distributions. This is a documented design choice (not a bug), but it means ""balance"" and ""quality"" are conflated. σ is slightly elevated due to this C_symb gap, but below threshold."
run_analysis (original),analysis.py,Runs full statistical analysis on scored DataFrame,0.8,0.55,0.2,0.2461,0.52,1,"BUG confirmed by execution. run_analysis() calls compute_all_metrics(df) which adds sigma_fiber column, then does pd.concat([df, metrics_df], axis=1). If df already has sigma_fiber (from synthetic_corpus.py pre-computed scores), pd.concat produces a 2D column. roc_auc_score then fails: ""y should be a 1d array, got shape (N, 2)."" C_struct: The concat without dedup is a structural error in the pipeline logic. C_symb: Function claims to ""run full analysis"" but crashes when given a pre-scored DataFrame — the most natural input. Hallucination signature: high C_num (arithmetic elsewhere correct), moderate C_struct (some logic sound), collapsed C_symb (function fails its purpose)."
run_analysis (deduplicated),analysis.py,Same function after column deduplication fix,0.88,0.85,0.85,0.0141,0.859,0,"After dropping duplicate sigma_fiber column before concat, the function runs correctly. AUC, F1, Welch t-test, Mann-Whitney, and Cohen's d all produce valid scalar outputs. All scores elevated to reflect the fixed implementation."
